status	path	disposition	slice	effect_class	integration_commits	evidence
M	src/officina/common/process_binding_compiler.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/common/repository_configuration.py	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/common/toml_io.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/dispatcher/__init__.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
D	src/officina/dispatcher/catalog.py	superseded	S7	E08,E14	ce1ea32+484c0d5	progress-log:S7;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/dispatcher/cli.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/dispatcher/core.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/dispatcher/direct_authorization.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/dispatcher/direct_blueprints.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/dispatcher/direct_models.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	src/officina/dispatcher/direct_runtime.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/dispatcher/errors.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprint.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprints/init.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprints/install-info.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprints/launcher-entry.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprints/managed-runtime.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprints/runtime-pointer.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/blueprints/uv-bootstrap.yaml	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/managed_runtime.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/resolvers/launch.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/install/runtime_pointer.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/runtime/python_machine_interface.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/runtime/python_machine_interface_runner.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/wakeup/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/wakeup/blueprints/cli.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/wakeup/blueprints/monitor.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/wakeup/blueprints/persistence.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/wakeup/blueprints/scheduler.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	src/officina/wakeup/blueprints/session-data.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/conftest.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/fixtures/blueprint_v6/direct-routing/alpha.v6.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/fixtures/blueprint_v6/direct-routing/beta.v6.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/fixtures/blueprint_v6/direct-routing/leaf.v6.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/fixtures/blueprint_v6/direct-routing/root.v6.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/fixtures/blueprint_v6/direct-routing/source.v6.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/fixtures/blueprint_v6/direct-routing/unrelated.v6.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_blueprint_catalog_schema.py	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_blueprint_inventory.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_blueprint_schema_metadata.py	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/test_direct_blueprint_v6_schemas.py	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
D	tests/test_dispatcher_catalog.py	adapted	S3,S7	E14	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/test_dispatcher_direct_authorization.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/test_dispatcher_direct_blueprints.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/test_dispatcher_performance.py	adapted	S5,S7	E09	07a82f7,ce1ea32+484c0d5	progress-log:S5,S7;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_dispatcher_route_smoke.py	adapted	S3,S7	E03,E04,E08	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_docs_catalog.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_install_lifecycle.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_interface_injection_migration.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_interface_projection.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_nested_module_migration.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_nested_module_v5_schemas.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_node_certification_hashing.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_blueprint_authorization.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_blueprint_graph.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_blueprint_template.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_certification_hashing.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
D	tests/test_officina_dispatcher.py	adapted	S3,S7	E14	dc96600+484c0d5,ce1ea32+484c0d5	progress-log:S3,S7;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_git_provenance.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_launcher_entry.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_managed_runtime.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_python_machine_interface.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	tests/test_officina_repository_configuration.py	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_officina_runtime_pointer.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_run_python_tests.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_standard_consumers.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/test_visualization_browser.py	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_blueprints.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_dependencies.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_dispatch_caller_module.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_documentation_validators.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_interface_ids.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_skill_md_dispatch.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	tests/validate_skill_runtime_doc_references.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	validators/skill/blueprints.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	validators/skill/dependencies.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	validators/skill/interface_ids.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	validators/skill/skill_md_dispatch.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	validators/skill_runtime_doc_references.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
